N,nsim,alpha,term,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_completed,mean_mu_true,rho_like_ment,b0_nb,alpha_nb,b_like,b_ment,b_int
50,10000,0.05,LIKE,0.6548,0.6454238324229984,0.6640572816814403,0.95,3.7699479999999994,3.7678161496647933,0.3,1.0,0.8,0.4,0.35,0.2
50,10000,0.05,MENT,0.5437,0.5339227604493268,0.553443678093076,0.95,3.7699479999999994,3.7678161496647933,0.3,1.0,0.8,0.4,0.35,0.2
50,10000,0.05,LIKExMENT,0.2251,0.2170206985928395,0.23339042371135843,0.95,3.7699479999999994,3.7678161496647933,0.3,1.0,0.8,0.4,0.35,0.2
70,10000,0.05,LIKE,0.8118,0.8040198581996467,0.8193406804163992,0.95,3.772652857142857,3.7660891304715203,0.3,1.0,0.8,0.4,0.35,0.2
70,10000,0.05,MENT,0.7003,0.6912453649605464,0.7092008052921605,0.95,3.772652857142857,3.7660891304715203,0.3,1.0,0.8,0.4,0.35,0.2
70,10000,0.05,LIKExMENT,0.3149,0.30586898555059017,0.3240731706462342,0.95,3.772652857142857,3.7660891304715203,0.3,1.0,0.8,0.4,0.35,0.2
90,10000,0.05,LIKE,0.8917,0.8854581370493672,0.8976410386270449,0.95,3.76106,3.7764627327972766,0.3,1.0,0.8,0.4,0.35,0.2
90,10000,0.05,MENT,0.8101,0.8022940685842617,0.8176677756262447,0.95,3.76106,3.7764627327972766,0.3,1.0,0.8,0.4,0.35,0.2
90,10000,0.05,LIKExMENT,0.3842,0.3747128202452673,0.3937761137773813,0.95,3.76106,3.7764627327972766,0.3,1.0,0.8,0.4,0.35,0.2
110,10000,0.05,LIKE,0.9447,0.9400470524510179,0.9490114193981022,0.95,3.782669090909091,3.7788412753346217,0.3,1.0,0.8,0.4,0.35,0.2
110,10000,0.05,MENT,0.8796,0.8730755078823443,0.8858329605546381,0.95,3.782669090909091,3.7788412753346217,0.3,1.0,0.8,0.4,0.35,0.2
110,10000,0.05,LIKExMENT,0.472,0.46222818309180186,0.48179332081695586,0.95,3.782669090909091,3.7788412753346217,0.3,1.0,0.8,0.4,0.35,0.2
130,10000,0.05,LIKE,0.9719,0.9684753390106027,0.9749622433271528,0.95,3.7843092307692308,3.7857358980603952,0.3,1.0,0.8,0.4,0.35,0.2
130,10000,0.05,MENT,0.9311,0.9259683762563612,0.9359005403484414,0.95,3.7843092307692308,3.7857358980603952,0.3,1.0,0.8,0.4,0.35,0.2
130,10000,0.05,LIKExMENT,0.5404,0.5306185719383364,0.550150400993313,0.95,3.7843092307692308,3.7857358980603952,0.3,1.0,0.8,0.4,0.35,0.2
150,10000,0.05,LIKE,0.9845,0.9818861281043236,0.9867417774744909,0.95,3.788008666666667,3.786519408768545,0.3,1.0,0.8,0.4,0.35,0.2
150,10000,0.05,MENT,0.9582,0.9540983478952283,0.9619497559978838,0.95,3.788008666666667,3.786519408768545,0.3,1.0,0.8,0.4,0.35,0.2
150,10000,0.05,LIKExMENT,0.5919,0.5822336287031779,0.6014957923962917,0.95,3.788008666666667,3.786519408768545,0.3,1.0,0.8,0.4,0.35,0.2
200,10000,0.05,LIKE,0.9992,0.9984220497466133,0.999594566280103,0.95,3.7848635,3.7835711719330973,0.3,1.0,0.8,0.4,0.35,0.2
200,10000,0.05,MENT,0.9896,0.9874151479094373,0.9914088408859962,0.95,3.7848635,3.7835711719330973,0.3,1.0,0.8,0.4,0.35,0.2
200,10000,0.05,LIKExMENT,0.7203,0.711419354597992,0.729011455719888,0.95,3.7848635,3.7835711719330973,0.3,1.0,0.8,0.4,0.35,0.2
250,10000,0.05,LIKE,0.9995,0.998829974053858,0.9997864115738362,0.95,3.7873216,3.7848836003699464,0.3,1.0,0.8,0.4,0.35,0.2
250,10000,0.05,MENT,0.9976,0.9964312236309004,0.9983866211906022,0.95,3.7873216,3.7848836003699464,0.3,1.0,0.8,0.4,0.35,0.2
250,10000,0.05,LIKExMENT,0.8196,0.8119412630209215,0.8270132852205418,0.95,3.7873216,3.7848836003699464,0.3,1.0,0.8,0.4,0.35,0.2
300,10000,0.05,LIKE,1.0,0.9996160016293234,1.0,0.95,3.787801333333334,3.7842165637425134,0.3,1.0,0.8,0.4,0.35,0.2
300,10000,0.05,MENT,0.9992,0.9984220497466133,0.999594566280103,0.95,3.787801333333334,3.7842165637425134,0.3,1.0,0.8,0.4,0.35,0.2
300,10000,0.05,LIKExMENT,0.8793,0.8727687765377132,0.8855399222982914,0.95,3.787801333333334,3.7842165637425134,0.3,1.0,0.8,0.4,0.35,0.2
